License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1104402,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MENDICINO INC,GRAN CAFFE,1056 MORRIS PARK AVENUE,,BRONX,NY,10462,860045,,05/01/2016,04/30/2018,40.8488770656,-73.8543934974,"(40.8488770656, -73.8543934974)"
1105516,LIQUOR STORE,222,L,New York,1,BRONX,C & N LIQUOR CORP,C & N LIQUOR,6 EAST GUNHILL ROAD,JEROME AVENUE,BRONX,NY,10467,867534,,06/01/2015,05/31/2018,40.8825723061,-73.881121745,"(40.8825723061, -73.881121745)"
1105856,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,FREDESVINDO SANTANA,SPORT LUNCHEONETTE & BILLIARD,920 EAST 173RD STREET,,BRONX,NY,10460,859485,05/25/2000,05/01/2016,04/30/2018,40.8356486573,-73.8887305438,"(40.8356486573, -73.8887305438)"
1107628,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,G M B RESTAURANT INC,STEP IN,1309 METROPOLITAN AVE,,BRONX,NY,10462,863808,05/13/2015,07/01/2016,06/30/2018,40.8337699575,-73.8610601669,"(40.8337699575, -73.8610601669)"
1108998,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CASA MILANO LTD,CAFFE PORTOFINO,2008 WILLIAMSBRIDGE ROAD,,BRONX,NY,10461,865612,,09/01/2016,08/31/2018,40.85435974,-73.8544427018,"(40.85435974, -73.8544427018)"
1109127,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,LITTLE BITS 3044 INC.,VIVIENNE'S,3044 WESTCHESTER AVE,AKA 3045 WESTCHESTER AVE,BRONX,NY,10461,867332,,12/01/2016,11/30/2018,40.8480554836,-73.8310712468,"(40.8480554836, -73.8310712468)"
1113334,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,629 CRESCENT AVENUE REST CORP,SHILA BAR & GRILL,629 CRESCENT AVENUE,BELMONT AVENUE,BRONX,NY,10458,848445,05/15/2001,05/01/2015,04/30/2017,40.8539517691,-73.8871123391,"(40.8539517691, -73.8871123391)"
1114562,LIQUOR STORE,222,L,New York,1,BRONX,ABRAHAM'S MIDDLETOWN WINES & LIQUORS INC,,3001 MIDDLETOWN ROAD,,BRONX,NY,10461,875542,03/28/2001,03/01/2016,02/28/2019,40.8439070313,-73.8304237296,"(40.8439070313, -73.8304237296)"
1117731,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,CARIDAD-BRONX RESTAURANT CORP,CARIDAD RESTAURANT,1436 WILLIAMSBRIDGE ROAD,HALPERIN AVENUE & RAYMOND AVE,BRONX,NY,10461,850111,07/09/2001,07/01/2015,06/30/2017,40.8430679591,-73.844815473,"(40.8430679591, -73.844815473)"
1121144,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MEMORIES LOUNGE & RESTAURANT INC,,3046 3048 FENTON AVENUE,GUN HILL RD & KNAPP STREET,BRONX,NY,10469,856540,01/24/2002,01/06/2016,12/31/2017,40.8698622527,-73.8445179222,"(40.8698622527, -73.8445179222)"
1125954,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,MIGUEL ABREU,SHALON RESTAURANT,2734 JEROME AVENUE,WALTON & JEROME AVENUE,BRONX,NY,10468,865447,09/12/2002,09/01/2016,08/31/2018,40.8688547122,-73.8961642022,"(40.8688547122, -73.8961642022)"
1127747,LIQUOR STORE,222,L,New York,1,BRONX,C & J SPIRITS INC,,7 KNOLLS CRESCENT,,BRONX,NY,10463,859524,07/01/2002,07/01/2014,06/30/2017,40.8791383119,-73.91683899,"(40.8791383119, -73.91683899)"
1127913,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,1900 JEROME AVE SPORTS BAR INC,,1900 JEROME AVENUE,183RD & CRESTON AVENUE,BRONX,NY,10453,859857,06/14/2002,06/01/2016,05/31/2018,40.8502052565,-73.9104808935,"(40.8502052565, -73.9104808935)"
1128122,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,C AND G ARTHUR AVENUE CORP,MUGZ'S,2476 ARTHUR AVENUE,,BRONX,NY,10458,864416,08/16/2002,08/01/2016,07/31/2018,40.857311713,-73.8859778498,"(40.857311713, -73.8859778498)"
1128218,ON-PREMISES LIQUOR,252,OP,New York,1,BRONX,152 MI SUENO RESTAURANT CORP,,152 WEST FORDHAM ROAD,,BRONX,NY,10468,863713,07/23/2002,07/01/2016,06/30/2018,40.8627665821,-73.9076333514,"(40.8627665821, -73.9076333514)"
