CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
990492734,12/31/2016,18:00:00,01/02/2017,12:45:00,01/02/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,52,FRONT OF,STREET,,,1013095,257541,40.873526075,-73.895701823,"(40.873526075, -73.895701823)"
327976390,12/31/2016,15:00:00,01/02/2017,08:45:00,01/02/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,OPPOSITE OF,STREET,,,1010208,240350,40.826350847,-73.906207373,"(40.826350847, -73.906207373)"
708504551,12/31/2016,10:30:00,12/31/2016,10:40:00,01/02/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. HOUSING POLICE,BRONX,42,FRONT OF,RESIDENCE - PUBLIC HOUSING,,FRANKLIN AVENUE I CONVENTIONAL,1011587,242656,40.832675994,-73.901215237,"(40.832675994, -73.901215237)"
684133566,12/31/2016,23:40:00,,,01/01/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,43,INSIDE,RESIDENCE - APT. HOUSE,,,1020694,242434,40.832033785,-73.868307022,"(40.832033785, -73.868307022)"
532602857,12/31/2016,22:30:00,12/31/2016,22:45:00,01/01/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,40,INSIDE,RESIDENCE - APT. HOUSE,,,1007164,239140,40.823038163,-73.917210387,"(40.823038163, -73.917210387)"
167802633,12/31/2016,21:30:00,01/01/2017,09:30:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,46,FRONT OF,STREET,,,1005303,248396,40.848447832,-73.923905353,"(40.848447832, -73.923905353)"
278110572,12/31/2016,21:00:00,12/31/2016,22:00:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,49,FRONT OF,RESIDENCE - APT. HOUSE,,,1025682,246375,40.842828683,-73.850258019,"(40.842828683, -73.850258019)"
634632161,12/31/2016,20:00:00,01/01/2017,02:00:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,FRONT OF,STREET,,,1024058,238894,40.822302984,-73.856171859,"(40.822302984, -73.856171859)"
312786672,12/31/2016,20:00:00,01/01/2017,15:00:00,01/01/2017,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. HOUSING POLICE,BRONX,40,FRONT OF,STREET,,,1005170,235308,40.812525348,-73.924426892,"(40.812525348, -73.924426892)"
437994074,12/31/2016,19:30:00,01/01/2017,07:30:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,FRONT OF,STREET,,,1007369,244370,40.837392476,-73.916451675,"(40.837392476, -73.916451675)"
833298940,12/31/2016,19:00:00,01/01/2017,15:00:00,01/01/2017,121,CRIMINAL MISCHIEF & RELATED OF,267,"MISCHIEF, CRIMINAL 3 & 2, OF M",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,50,FRONT OF,STREET,,,1011514,269372,40.906003447,-73.901370336,"(40.906003447, -73.901370336)"
158991288,12/31/2016,17:40:00,01/01/2017,16:00:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,FRONT OF,RESIDENCE-HOUSE,,,1025478,245686,40.840938537,-73.85099955,"(40.840938537, -73.85099955)"
564087437,12/31/2016,17:00:00,01/01/2017,11:30:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,44,FRONT OF,STREET,,,1007715,241546,40.829640499,-73.915211145,"(40.829640499, -73.915211145)"
322118603,12/31/2016,16:00:00,01/01/2017,15:30:00,01/01/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,,STREET,,,1028537,243495,40.834910075,-73.839958524,"(40.834910075, -73.839958524)"
464481635,12/31/2016,12:00:00,,,01/01/2017,578,HARRASSMENT 2,638,"HARASSMENT,SUBD 3,4,5",COMPLETED,VIOLATION,N.Y. POLICE DEPT,BRONX,44,INSIDE,RESIDENCE - APT. HOUSE,,,1007383,245479,40.840436321,-73.916397256,"(40.840436321, -73.916397256)"
