BasketType,x,y
S,-73.95570544,40.71911708
S,-73.92668998,40.65216475
S,-73.95562635,40.70779382
S,-73.93054975,40.65544375
S,-73.93018474,40.64797465
S,-73.90690729,40.6690785
S,-73.91933601,40.67428677
S,-73.92313558,40.66493922
H,-73.94921417,40.64902476
S,-73.94015763,40.65141834
S,-73.94225355,40.70290102
S,-73.91100144,40.67739276
S,-73.9407751,40.65108525
S,-73.94952785,40.64901168
S,-73.93064715,40.65643224
S,-73.92975773,40.64799363
H,-73.90641171,40.6688499
S,-73.94080715,40.65137844
S,-73.94841849,40.65068511
S,-73.91076161,40.67653379
S,-73.93000228,40.64611375
S,-73.95539909,40.70140693
S,-73.91844292,40.65393597
S,-73.91425367,40.65744364
S,-73.9193081,40.67452781
S,-73.91090506,40.67485557
S,-73.92999812,40.64644044
S,-73.90649814,40.66912524
S,-73.94844734,40.65096969
S,-73.91818726,40.65363837
S,-73.94107277,40.6510822
S,-73.94108808,40.65136548
S,-73.9543835,40.64300389
S,-73.92951802,40.64610725
S,-73.94873608,40.65067834
B,-73.91111858,40.66944117
S,-73.92826565,40.66161371
S,-73.9553318,40.73570581
S,-73.91344155,40.6775259
S,-73.9146468,40.68446719
S,-73.94463847,40.70208527
S,-73.94172207,40.65102197
S,-73.95450928,40.64404529
S,-73.9487796,40.65095084
S,-73.9266994,40.65252079
S,-73.91647518,40.66865085
S,-73.95455823,40.73069318
S,-73.92956237,40.64645593
S,-73.94683215,40.65104962
S,-73.94173904,40.65131265
S,-73.92983487,40.64455013
S,-73.95452565,40.64428974
S,-73.94199658,40.65102129
S,-73.91945576,40.67274697
S,-73.95508907,40.70159706
S,-73.92289985,40.66476791
S,-73.92941455,40.64458107
S,-73.94046959,40.71224158
S,-73.95192934,40.64415588
H,-73.94941781,40.65067071
S,-73.9083009,40.65931032
S,-73.92042666,40.64703573
S,-73.94203791,40.65129782
S,-73.9517504,40.65081927
S,-73.95161542,40.64416644
S,-73.91998448,40.64731842
S,-73.92828223,40.66127248
S,-73.95201113,40.64477736
S,-73.94264772,40.65096073
S,-73.90614876,40.66791189
S,-73.94268838,40.70317132
S,-73.9636698,40.71006895
S,-73.91084271,40.67539186
S,-73.91370256,40.67780101
S,-73.9206079,40.64887827
S,-73.95195361,40.64438296
S,-73.94246397,40.70176057
S,-73.94270398,40.65125526
S,-73.95643211,40.70807258
S,-73.91468215,40.64832044
S,-73.92732099,40.65213091
S,-73.95501246,40.73600865
S,-73.91597318,40.64946499
S,-73.94296606,40.65124743
S,-73.95162117,40.64439771
S,-73.9425268,40.70217541
S,-73.94499224,40.70227047
S,-73.94258455,40.70247392
S,-73.94297111,40.65095225
S,-73.93110048,40.6563433
S,-73.91491891,40.68443243
S,-73.9516677,40.6447828
S,-73.94174817,40.70098443
S,-73.95573774,40.70168777
S,-73.90902249,40.66217976
S,-73.94205409,40.70178711
B,-73.91803447,40.66845732
S,-73.92445127,40.65265088
S,-73.9439595,40.65097906
S,-73.94532361,40.71131246
S,-73.94215189,40.70218925
S,-73.94893471,40.64335298
S,-73.96831933,40.71058707
S,-73.92441871,40.6522918
S,-73.94217481,40.70250677
S,-73.9448703,40.65091349
S,-73.94862058,40.64337186
S,-73.92852094,40.6614702
S,-73.92386599,40.65268167
S,-73.91082966,40.67564921
S,-73.90243493,40.66810507
S,-73.94903215,40.64425617
S,-73.94200657,40.70147729
S,-73.93592705,40.65128603
S,-73.94490472,40.65120689
S,-73.91369106,40.67827822
S,-73.94870574,40.64427705
